natx =       15
    x       y        z       iph  
      0.00000      0.00000      0.00000   0
     -0.01002      1.25919     -1.24917   1
      0.01670     -1.26375      1.25875   1
     -1.71833     -1.16719     -1.16972   1
      2.35623     -0.41048     -0.35612   1
     -0.60951      1.66300      1.66556   1
     -2.25103      0.64645      0.66704   1
      1.85025      1.12400      1.12863   1
      0.30893     -1.69566     -1.73815   1
      2.77203      0.53233      0.45337   2
     -0.96353     -1.92741     -1.88471   2
     -1.89200      1.54010      1.50941   2
     -1.40439     -2.81930     -2.62708   1
      3.99774      0.77461      0.56706   1
     -2.72528      2.24238      2.14906   1
