# 2 files saved Sat Feb 14 20:39:58 2026
# saving x array='energy', y array='mu'
# merge: merge
# Ref merge: Ref merge
#------------------------------------------
# energy, merge, Ref merge
 17120.0000,  1.42589e-4,  23119.3445
 17123.9940,  1.37152e-4,  23064.9535
 17128.0010,  1.38869e-4,  23092.4005
 17131.9990,  1.44177e-4,  23065.9292
 17135.9970,  1.21738e-4,  23031.4746
 17139.9980,  1.39041e-4,  23005.2996
 17144.0000,  1.34397e-4,  22972.5833
 17145.0040,  1.27782e-4,  22970.2813
 17145.9950,  1.58040e-4,  22960.6113
 17147.0000,  1.49514e-4,  22956.3039
 17148.0040,  1.21266e-4,  22940.3005
 17148.9960,  1.55000e-4,  22933.9938
 17150.0000,  1.53236e-4,  22927.1155
 17151.0050,  1.59008e-4,  22927.7444
 17151.9980,  1.59542e-4,  22916.3106
 17152.3940,  1.64021e-4,  22912.0313
 17152.8040,  1.39600e-4,  22901.6437
 17153.2010,  1.34213e-4,  22894.5115
 17153.5970,  1.51091e-4,  22897.9437
 17153.9950,  1.57998e-4,  22900.8475
 17154.4050,  1.52956e-4,  22898.6621
 17154.8020,  1.55649e-4,  22899.2168
 17155.1980,  1.64259e-4,  22893.1914
 17155.5950,  1.66884e-4,  22883.3918
 17156.0050,  1.62523e-4,  22880.8660
 17156.4030,  1.95702e-4,  22881.2238
 17156.8000,  1.62855e-4,  22872.9442
 17157.1960,  1.87164e-4,  22855.8821
 17157.5930,  1.82576e-4,  22843.9594
 17158.0030,  2.24892e-4,  22835.6864
 17158.4010,  2.51321e-4,  22819.1836
 17158.7980,  2.33424e-4,  22796.9380
 17159.1950,  2.73309e-4,  22785.0629
 17159.6060,  2.94648e-4,  22764.8362
 17160.0020,  2.96262e-4,  22763.7745
 17160.3990,  3.61007e-4,  22769.1447
 17160.7970,  3.69371e-4,  22773.7629
 17161.1940,  4.55898e-4,  22798.6393
 17161.6050,  6.05775e-4,  22815.6526
 17162.0010,  6.48258e-4,  22820.4636
 17162.3990,  8.06706e-4,  22820.7039
 17162.7960,  9.28168e-4,  22816.3232
 17163.1940,  0.00114591,  22803.9535
 17163.6040,  0.00128514,  22806.0183
 17164.0010,  0.00149631,  22797.2426
 17164.3980,  0.00170478,  22786.4081
 17164.7960,  0.00195601,  22773.6185
 17165.1940,  0.00215704,  22778.2702
 17165.6040,  0.00234219,  22776.2526
 17166.0010,  0.00254435,  22779.6020
 17166.3990,  0.00276039,  22780.4480
 17166.7960,  0.00303905,  22787.0465
 17167.1940,  0.00325167,  22782.6128
 17167.6050,  0.00373114,  22775.2213
 17168.0020,  0.00426282,  22775.8617
 17168.3990,  0.00503021,  22770.4593
 17168.7970,  0.00579414,  22775.8181
 17169.1950,  0.00728440,  22782.8954
 17169.6060,  0.00862641,  22784.2262
 17170.0030,  0.01064673,  22779.6481
 17170.4000,  0.01261075,  22776.4110
 17170.7990,  0.01500085,  22780.1905
 17171.1960,  0.01672363,  22768.2818
 17171.5930,  0.01891971,  22766.9250
 17172.0040,  0.02062156,  22766.6730
 17172.4030,  0.02247625,  22763.4346
 17172.8000,  0.02391290,  22770.4220
 17173.1970,  0.02437055,  22762.8667
 17173.5950,  0.02432483,  22757.3259
 17173.9940,  0.02396421,  22754.3045
 17174.4050,  0.02269343,  22747.3572
 17174.8020,  0.02159179,  22746.8742
 17175.2000,  0.02016151,  22748.0852
 17175.5980,  0.01860481,  22744.6849
 17175.9960,  0.01720660,  22740.9142
 17176.3930,  0.01594149,  22737.8374
 17176.8050,  0.01487572,  22727.7144
 17177.2030,  0.01406862,  22731.7969
 17177.6010,  0.01349557,  22728.3296
 17177.9990,  0.01276028,  22727.6052
 17178.3970,  0.01233536,  22733.9233
 17178.7950,  0.01180875,  22726.6490
 17179.2060,  0.01156192,  22729.3892
 17179.6040,  0.01134791,  22723.8467
 17180.0020,  0.01116652,  22717.2014
 17180.4000,  0.01121056,  22714.7341
 17180.7990,  0.01115069,  22710.1790
 17181.1960,  0.01158592,  22711.3256
 17181.5950,  0.01161632,  22708.8679
 17181.9930,  0.01152933,  22700.2338
 17183.0010,  0.01171165,  22693.4216
 17183.9980,  0.01184147,  22684.0415
 17184.9930,  0.01197678,  22679.7529
 17186.0020,  0.01168327,  22682.9991
 17186.9980,  0.01169360,  22675.8179
 17187.9950,  0.01128674,  22664.8396
 17189.0040,  0.01102025,  22655.4060
 17190.0000,  0.01086318,  22648.0387
 17190.9970,  0.01048382,  22642.5096
 17191.9940,  0.01036056,  22633.8370
 17193.0030,  0.01017940,  22630.2467
 17194.0000,  0.01012060,  22623.8837
 17194.9970,  0.00994028,  22613.0664
 17195.9940,  0.00969972,  22611.2569
 17197.0040,  0.00956757,  22602.1132
 17198.0020,  0.00951905,  22591.6738
 17199.0000,  0.00955919,  22585.4628
 17199.9970,  0.00966156,  22564.7409
 17200.9950,  0.00970978,  22558.8760
 17202.0050,  0.00985091,  22555.7887
 17203.0030,  0.00983669,  22544.3303
 17204.0010,  0.00996947,  22541.9649
 17205.0000,  0.01024921,  22524.1944
 17205.9980,  0.01054984,  22517.3420
 17206.9960,  0.01062335,  22514.7392
 17207.9950,  0.01037170,  22509.5237
 17208.9940,  0.01043985,  22508.4428
 17210.0050,  0.01050236,  22506.0941
 17211.0040,  0.01043258,  22489.1505
 17212.0030,  0.01038968,  22486.9369
 17213.0020,  0.01017042,  22475.9844
 17214.0010,  0.01005313,  22470.1955
 17215.0000,  0.00989249,  22462.9305
 17216.0000,  0.00995796,  22452.8652
 17217.0000,  0.00972228,  22440.5587
 17218.0000,  0.00962410,  22432.9739
 17218.9990,  0.00954891,  22436.4936
 17219.9990,  0.00950595,  22428.7652
 17220.9990,  0.00942786,  22423.3892
 17222.0000,  0.00934514,  22413.4261
 17223.0000,  0.00934488,  22403.5587
 17224.0000,  0.00913258,  22401.0348
 17225.0000,  0.00920730,  22389.4893
 17226.0010,  0.00905693,  22380.5268
 17227.0020,  0.00902376,  22368.1675
 17228.0020,  0.00913877,  22356.1476
 17229.0030,  0.00881094,  22354.6613
 17230.0050,  0.00874846,  22346.7160
 17232.9960,  0.00866884,  22333.2067
 17236.0000,  0.00861229,  22303.7916
 17238.9940,  0.00877940,  22283.2672
 17242.0000,  0.00896485,  22268.4444
 17244.9960,  0.00889113,  22240.1790
 17248.0050,  0.00924644,  22219.0761
 17251.0020,  0.00937008,  22188.9304
 17254.0000,  0.00966706,  22172.0043
 17257.0000,  0.00996104,  22150.8203
 17260.0000,  0.00999303,  22118.3899
 17263.0010,  0.00989285,  22085.8635
 17266.0030,  0.01006035,  22052.8742
 17266.5000,  0.00998684,  22052.5833
 17266.9960,  0.01007001,  22053.8890
 17267.5050,  0.01002089,  22051.7186
 17268.0010,  0.01002030,  22042.2542
 17268.4980,  0.00988909,  22016.8714
 17268.9940,  0.01001516,  21972.2514
 17269.5030,  0.01009165,  21909.9004
 17270.0000,  0.01002529,  21840.2038
 17270.4960,  0.00994179,  21757.8699
 17271.0050,  0.00997407,  21675.9748
 17271.5020,  0.00988540,  21610.7764
 17271.9990,  0.00997129,  21563.6120
 17272.4950,  0.00977046,  21548.3139
 17273.0040,  0.00971755,  21542.2707
 17273.5010,  0.00998873,  21564.3020
 17273.9980,  0.00996048,  21589.1279
 17274.4940,  0.01000188,  21642.1452
 17275.0040,  0.00984640,  21711.0770
 17275.5000,  0.00985467,  21781.4647
 17275.9970,  0.00991952,  21838.5076
 17276.4940,  0.00969386,  21879.2752
 17277.0040,  0.00981271,  21930.4107
 17277.5000,  0.00983566,  21959.1642
 17277.9980,  0.00975410,  21981.3497
 17278.4940,  0.00977903,  21986.1006
 17279.0040,  0.00986035,  21991.4610
 17279.5010,  0.00975526,  21992.7916
 17279.9980,  0.00984201,  21988.0683
 17289.9950,  0.00952509,  21933.2806
 17300.0030,  0.00927363,  21855.0763
 17309.9970,  0.00900985,  21789.6041
 17320.0020,  0.00920453,  21722.4005
 17330.0050,  0.00931488,  21658.2323
 17339.9940,  0.00931156,  21574.3788
 17349.9950,  0.00942727,  21501.0991
 17359.9930,  0.00938639,  21434.9928
 17370.0030,  0.00926830,  21324.8051
 17379.9990,  0.00937014,  21285.2391
 17390.0050,  0.00946381,  21210.7058
 17399.9970,  0.00931190,  21126.4691
