# 2 files saved Sat Feb 14 20:56:49 2026
# saving x array='energy', y array='mu'
# UO2CO3_3: UO2CO3_3
# REF_UO2CO3_3: REF_UO2CO3_3
#------------------------------------------
# energy, UO2CO3_3, REF_UO2CO3_3
 17248.1050,  0.02218687,  22419.4291
 17251.1020,  0.02219753,  22403.5484
 17254.1000,  0.02297660,  22394.4567
 17257.1000,  0.02356338,  22359.6078
 17260.1000,  0.02360555,  22322.5852
 17263.1010,  0.02394472,  22286.6475
 17266.1030,  0.02403550,  22262.4189
 17266.6000,  0.02375450,  22263.6925
 17267.0960,  0.02362341,  22251.4168
 17267.6050,  0.02384331,  22242.9331
 17268.1010,  0.02377826,  22229.1254
 17268.5980,  0.02363410,  22196.7460
 17269.0940,  0.02335610,  22158.6542
 17269.6030,  0.02350782,  22106.3245
 17270.1000,  0.02363397,  22033.3312
 17270.5960,  0.02386145,  21947.1229
 17271.1050,  0.02379093,  21868.0685
 17271.6020,  0.02375114,  21797.6344
 17272.0990,  0.02357388,  21751.1099
 17272.5950,  0.02363086,  21732.2110
 17273.1040,  0.02327804,  21727.4566
 17273.6010,  0.02329055,  21747.6135
 17274.0980,  0.02373537,  21784.3634
 17274.5940,  0.02363891,  21836.5425
 17275.1040,  0.02337569,  21915.4548
 17275.6000,  0.02354901,  21992.8496
 17276.0970,  0.02360754,  22058.4276
 17276.5940,  0.02354526,  22102.4438
 17277.1040,  0.02357191,  22146.5212
 17277.6000,  0.02361233,  22167.9921
 17278.0980,  0.02321036,  22180.9651
 17278.5940,  0.02328115,  22182.7118
 17279.1040,  0.02337519,  22174.6680
 17279.6010,  0.02338665,  22173.9182
 17280.0980,  0.02352553,  22176.1505
 17290.0950,  0.02270824,  22141.0083
 17300.1030,  0.02157029,  22052.5026
 17310.0970,  0.02188715,  22001.2656
 17320.1020,  0.02172192,  21934.4258
 17330.1050,  0.02186217,  21846.6807
 17340.0940,  0.02246763,  21772.1601
 17350.0950,  0.02231959,  21696.4535
 17360.0930,  0.02210412,  21632.2040
 17370.1030,  0.02230127,  21531.3877
 17380.0990,  0.02256437,  21475.1881
 17390.1050,  0.02246986,  21402.0047
 17400.0970,  0.02222736,  21321.0714
