# 2 files saved Sat Feb 14 20:43:10 2026
# saving x array='energy', y array='mu'
# merge: merge
# Ref merge: Ref merge
#------------------------------------------
# energy, merge, Ref merge
 17120.0000,  1.27245e-4,  23353.3222
 17123.9940,  1.22698e-4,  23289.4848
 17128.0010,  1.24038e-4,  23321.7475
 17131.9990,  1.23044e-4,  23292.3797
 17135.9970,  1.29099e-4,  23254.4821
 17139.9980,  1.50016e-4,  23224.6229
 17144.0000,  1.18949e-4,  23191.3662
 17145.0040,  1.29311e-4,  23189.8807
 17145.9950,  1.30884e-4,  23184.1697
 17147.0000,  1.30446e-4,  23177.6496
 17148.0040,  1.34242e-4,  23173.9054
 17148.9960,  1.45326e-4,  23165.9569
 17150.0000,  1.32658e-4,  23157.6273
 17151.0050,  1.47196e-4,  23157.5831
 17151.9980,  1.53133e-4,  23140.6524
 17152.3940,  1.65911e-4,  23141.1155
 17152.8040,  1.58177e-4,  23135.9474
 17153.2010,  1.48506e-4,  23132.1201
 17153.5970,  1.54084e-4,  23134.9508
 17153.9950,  1.43976e-4,  23125.6458
 17154.4050,  1.57481e-4,  23127.1166
 17154.8020,  1.52079e-4,  23129.1304
 17155.1980,  1.56272e-4,  23115.8974
 17155.5950,  1.77636e-4,  23110.1305
 17156.0050,  1.82099e-4,  23111.2347
 17156.4030,  1.43989e-4,  23109.5737
 17156.8000,  1.88656e-4,  23109.6615
 17157.1960,  2.04698e-4,  23099.3986
 17157.5930,  2.10146e-4,  23088.4919
 17158.0030,  2.16122e-4,  23073.3486
 17158.4010,  2.18102e-4,  23066.2492
 17158.7980,  2.41744e-4,  23041.2350
 17159.1950,  2.58835e-4,  23026.5461
 17159.6060,  2.81465e-4,  23020.6524
 17160.0020,  3.08248e-4,  23006.0415
 17160.3990,  3.70137e-4,  22993.9187
 17160.7970,  4.10362e-4,  22994.8100
 17161.1940,  4.82511e-4,  23012.9126
 17161.6050,  5.68468e-4,  23033.4441
 17162.0010,  6.76994e-4,  23043.1899
 17162.3990,  8.16816e-4,  23045.5127
 17162.7960,  9.38105e-4,  23045.7994
 17163.1940,  0.00110810,  23042.4275
 17163.6040,  0.00133411,  23025.4154
 17164.0010,  0.00163008,  23010.4968
 17164.3980,  0.00184122,  23014.1478
 17164.7960,  0.00205367,  23006.2383
 17165.1940,  0.00232118,  23009.3163
 17165.6040,  0.00250845,  23003.2936
 17166.0010,  0.00280513,  23006.4996
 17166.3990,  0.00295293,  23005.8282
 17166.7960,  0.00325261,  23006.1817
 17167.1940,  0.00357162,  23004.8007
 17167.6050,  0.00383296,  23008.1377
 17168.0020,  0.00442385,  23008.1479
 17168.3990,  0.00515717,  23012.0984
 17168.7970,  0.00605436,  23018.0416
 17169.1950,  0.00727439,  23006.6644
 17169.6060,  0.00888854,  23004.0831
 17170.0030,  0.01081400,  23008.5573
 17170.4000,  0.01281027,  23010.5312
 17170.7990,  0.01545676,  23000.9056
 17171.1960,  0.01758024,  22997.0675
 17171.5930,  0.02003387,  22998.6053
 17172.0040,  0.02254849,  23001.8425
 17172.4030,  0.02476603,  22986.6906
 17172.8000,  0.02617503,  22978.7212
 17173.1970,  0.02757514,  22989.1144
 17173.5950,  0.02786416,  22984.6503
 17173.9940,  0.02788511,  22979.9525
 17174.4050,  0.02765863,  22982.8423
 17174.8020,  0.02605594,  22973.3278
 17175.2000,  0.02458652,  22975.5932
 17175.5980,  0.02295904,  22969.4579
 17175.9960,  0.02123419,  22964.2991
 17176.3930,  0.01978860,  22963.5798
 17176.8050,  0.01864641,  22962.5234
 17177.2030,  0.01743950,  22960.7205
 17177.6010,  0.01616294,  22952.3881
 17177.9990,  0.01553533,  22949.9331
 17178.3970,  0.01457990,  22945.9998
 17178.7950,  0.01408231,  22942.0850
 17179.2060,  0.01363625,  22931.5317
 17179.6040,  0.01347795,  22928.1207
 17180.0020,  0.01317216,  22927.0985
 17180.4000,  0.01325130,  22925.7669
 17180.7990,  0.01320989,  22917.5741
 17181.1960,  0.01322099,  22914.7164
 17181.5950,  0.01345539,  22915.6574
 17181.9930,  0.01354992,  22910.6209
 17183.0010,  0.01390449,  22908.7898
 17183.9980,  0.01394614,  22903.6010
 17184.9930,  0.01419334,  22900.7748
 17186.0020,  0.01396208,  22887.1805
 17186.9980,  0.01363624,  22880.9043
 17187.9950,  0.01339396,  22873.0848
 17189.0040,  0.01293414,  22867.9335
 17190.0000,  0.01278688,  22857.3674
 17190.9970,  0.01241384,  22849.2566
 17191.9940,  0.01209749,  22845.1813
 17193.0030,  0.01168932,  22838.6273
 17194.0000,  0.01155154,  22826.5459
 17194.9970,  0.01154482,  22815.8878
 17195.9940,  0.01127408,  22810.2882
 17197.0040,  0.01105083,  22803.8592
 17198.0020,  0.01122450,  22806.2773
 17199.0000,  0.01117242,  22802.1014
 17199.9970,  0.01124210,  22788.8352
 17200.9950,  0.01106472,  22783.2838
 17202.0050,  0.01115869,  22769.5810
 17203.0030,  0.01133574,  22758.8219
 17204.0010,  0.01151899,  22752.3830
 17205.0000,  0.01159537,  22740.6213
 17205.9980,  0.01175293,  22737.7764
 17206.9960,  0.01181962,  22734.2760
 17207.9950,  0.01226842,  22730.5124
 17208.9940,  0.01210034,  22725.4726
 17210.0050,  0.01210690,  22714.7930
 17211.0040,  0.01200585,  22708.0420
 17212.0030,  0.01194722,  22696.3254
 17213.0020,  0.01204787,  22682.7344
 17214.0010,  0.01198702,  22682.1612
 17215.0000,  0.01153138,  22679.0020
 17216.0000,  0.01162559,  22662.3926
 17217.0000,  0.01139072,  22653.3722
 17218.0000,  0.01143545,  22636.8525
 17218.9990,  0.01135737,  22639.1557
 17219.9990,  0.01113289,  22642.5870
 17220.9990,  0.01119558,  22640.3119
 17222.0000,  0.01088937,  22626.6018
 17223.0000,  0.01086414,  22619.7463
 17224.0000,  0.01066211,  22615.2889
 17225.0000,  0.01064402,  22600.3653
 17226.0010,  0.01049715,  22595.8318
 17227.0020,  0.01052820,  22593.5501
 17228.0020,  0.01041369,  22588.3788
 17229.0030,  0.01029298,  22575.6880
 17230.0050,  0.01023064,  22573.0330
 17232.9960,  0.01005280,  22545.6509
 17236.0000,  0.01011118,  22512.7854
 17238.9940,  0.01013402,  22496.8973
 17242.0000,  0.01042792,  22480.0430
 17244.9960,  0.01056626,  22457.0193
 17248.0050,  0.01070817,  22432.3686
 17251.0020,  0.01094388,  22409.2799
 17254.0000,  0.01103953,  22381.6828
 17257.0000,  0.01116549,  22353.8062
 17260.0000,  0.01137842,  22329.9946
 17263.0010,  0.01136165,  22296.4016
 17266.0030,  0.01165420,  22268.2467
 17266.5000,  0.01149547,  22275.2924
 17266.9960,  0.01149228,  22270.3671
 17267.5050,  0.01148176,  22260.0102
 17268.0010,  0.01148020,  22256.1324
 17268.4980,  0.01144573,  22237.9845
 17268.9940,  0.01165830,  22203.7397
 17269.5030,  0.01156886,  22162.0106
 17270.0000,  0.01149747,  22098.5040
 17270.4960,  0.01138334,  22021.9496
 17271.0050,  0.01157342,  21924.8203
 17271.5020,  0.01139705,  21846.3252
 17271.9990,  0.01142990,  21784.9567
 17272.4950,  0.01134438,  21744.0619
 17273.0040,  0.01152253,  21732.2480
 17273.5010,  0.01132339,  21738.7914
 17273.9980,  0.01159976,  21770.1367
 17274.4940,  0.01144845,  21806.3412
 17275.0040,  0.01141945,  21860.9748
 17275.5000,  0.01146059,  21933.6690
 17275.9970,  0.01152463,  22006.5180
 17276.4940,  0.01143552,  22061.1829
 17277.0040,  0.01146798,  22110.1793
 17277.5000,  0.01154236,  22155.8841
 17277.9980,  0.01140973,  22178.7011
 17278.4940,  0.01140711,  22189.5545
 17279.0040,  0.01136006,  22190.8549
 17279.5010,  0.01151054,  22185.7828
 17279.9980,  0.01142155,  22191.7791
 17289.9950,  0.01113541,  22144.3088
 17300.0030,  0.01053637,  22060.4056
 17309.9970,  0.01062865,  21995.8288
 17320.0020,  0.01059441,  21927.4729
 17330.0050,  0.01080071,  21852.9261
 17339.9940,  0.01071809,  21774.5849
 17349.9950,  0.01084662,  21701.6262
 17359.9930,  0.01077505,  21644.3664
 17370.0030,  0.01079332,  21546.0363
 17379.9990,  0.01072153,  21497.2161
 17390.0050,  0.01077482,  21417.9192
 17399.9970,  0.01093992,  21329.2598
