# 2 files saved Sat Feb 14 21:57:50 2026
# saving x array='energy', y array='mu'
# merge: merge
# Ref merge: Ref merge
#------------------------------------------
# energy, merge, Ref merge
 17177.2030,  0.03657316,  22826.1526
 17177.6010,  0.03409817,  22822.2203
 17177.9990,  0.03210238,  22817.4233
 17178.3970,  0.03062906,  22815.0444
 17178.7950,  0.02974291,  22810.5593
 17179.2060,  0.02868073,  22806.9560
 17179.6040,  0.02814114,  22805.0988
 17180.0020,  0.02791287,  22794.3414
 17180.4000,  0.02786031,  22793.9698
 17180.7990,  0.02751763,  22782.4931
 17181.1960,  0.02763327,  22778.3339
 17181.5950,  0.02784291,  22783.6285
 17181.9930,  0.02810059,  22777.4415
 17183.0010,  0.02871099,  22771.9845
 17183.9980,  0.02907473,  22770.8170
 17184.9930,  0.02940440,  22761.2325
 17186.0020,  0.02927831,  22755.0441
 17186.9980,  0.02890325,  22740.4462
 17187.9950,  0.02864327,  22743.4983
 17189.0040,  0.02839890,  22739.8574
 17190.0000,  0.02787272,  22724.9797
 17190.9970,  0.02728060,  22711.2032
 17191.9940,  0.02662949,  22706.3705
 17193.0030,  0.02596188,  22702.2425
 17194.0000,  0.02535402,  22699.3242
 17194.9970,  0.02508493,  22699.5499
 17195.9940,  0.02473477,  22685.0908
 17197.0040,  0.02446153,  22680.3066
 17198.0020,  0.02421295,  22678.1129
 17199.0000,  0.02390108,  22671.7995
 17199.9970,  0.02393510,  22658.3786
 17200.9950,  0.02436536,  22650.4760
 17202.0050,  0.02472687,  22645.6409
 17203.0030,  0.02502090,  22638.7083
 17204.0010,  0.02522167,  22628.6651
 17205.0000,  0.02560754,  22620.8234
 17205.9980,  0.02596303,  22611.3235
 17206.9960,  0.02609771,  22596.7761
 17207.9950,  0.02636625,  22592.4714
 17208.9940,  0.02641008,  22581.7978
 17210.0050,  0.02641831,  22575.1564
 17211.0040,  0.02642910,  22575.0999
 17212.0030,  0.02612327,  22566.5093
 17213.0020,  0.02601224,  22555.8578
 17214.0010,  0.02581733,  22544.7528
 17215.0000,  0.02573181,  22536.0418
 17216.0000,  0.02534377,  22535.7767
 17217.0000,  0.02507165,  22533.5400
 17218.0000,  0.02502582,  22525.6967
 17218.9990,  0.02450100,  22514.2368
 17219.9990,  0.02428209,  22515.6667
 17220.9990,  0.02397624,  22505.2300
 17222.0000,  0.02363713,  22498.1799
 17223.0000,  0.02341105,  22491.1200
 17224.0000,  0.02324488,  22495.7033
 17225.0000,  0.02293125,  22493.1300
 17226.0010,  0.02289664,  22486.3104
 17227.0020,  0.02266958,  22472.9865
 17228.0020,  0.02249723,  22465.0667
 17229.0030,  0.02227223,  22458.8491
 17230.0050,  0.02196173,  22448.7204
 17232.9960,  0.02165867,  22419.3283
 17236.0000,  0.02159516,  22389.5010
 17238.9940,  0.02173359,  22371.1388
 17242.0000,  0.02237962,  22348.4870
 17244.9960,  0.02273894,  22337.1333
 17248.0050,  0.02318394,  22302.5003
 17251.0020,  0.02332096,  22275.3737
 17254.0000,  0.02395872,  22256.7075
 17257.0000,  0.02420775,  22236.6700
 17260.0000,  0.02451825,  22215.2889
 17263.0010,  0.02489954,  22174.6052
 17266.0030,  0.02504621,  22149.0351
 17266.5000,  0.02506338,  22143.4197
 17266.9960,  0.02468156,  22137.4562
 17267.5050,  0.02517849,  22134.3225
 17268.0010,  0.02523308,  22132.7016
 17268.4980,  0.02479282,  22119.1562
 17268.9940,  0.02504176,  22081.0593
 17269.5030,  0.02531624,  22040.7855
 17270.0000,  0.02515843,  21982.6365
 17270.4960,  0.02495136,  21906.5887
 17271.0050,  0.02532782,  21815.1305
 17271.5020,  0.02521544,  21739.0261
 17271.9990,  0.02474981,  21678.6995
 17272.4950,  0.02520913,  21638.2907
 17273.0040,  0.02473281,  21619.5552
 17273.5010,  0.02510294,  21613.4729
 17273.9980,  0.02526781,  21642.6901
 17274.4940,  0.02482201,  21677.7326
 17275.0040,  0.02471957,  21730.8947
 17275.5000,  0.02493854,  21802.2500
 17275.9970,  0.02499693,  21875.2060
 17276.4940,  0.02486821,  21932.0182
 17277.0040,  0.02476305,  21981.6397
 17277.5000,  0.02466061,  22011.6735
 17277.9980,  0.02466635,  22042.6897
 17278.4940,  0.02473558,  22064.8958
 17279.0040,  0.02502043,  22070.8841
 17279.5010,  0.02506253,  22067.9123
 17279.9980,  0.02495653,  22068.5231
 17289.9950,  0.02372986,  22029.3488
 17300.0030,  0.02322954,  21933.3522
 17309.9970,  0.02311278,  21871.0622
 17320.0020,  0.02328626,  21805.3298
 17330.0050,  0.02305708,  21728.7928
 17339.9940,  0.02327745,  21650.8519
 17349.9950,  0.02393777,  21578.7963
 17359.9930,  0.02392241,  21516.8442
 17370.0030,  0.02351904,  21399.9660
 17379.9990,  0.02346235,  21364.5638
 17390.0050,  0.02383262,  21296.2022
 17399.9970,  0.02373369,  21206.2664
