# 2 files saved Sat Feb 14 21:57:50 2026
# saving x array='energy', y array='mu'
# merge: merge
# Ref merge: Ref merge
#------------------------------------------
# energy, merge, Ref merge
 17120.0000,  1.40533e-4,  23230.4152
 17123.9940,  1.32344e-4,  23170.7819
 17128.0010,  1.32140e-4,  23182.6470
 17131.9990,  1.34777e-4,  23169.6095
 17135.9970,  1.39125e-4,  23137.5921
 17139.9980,  1.51568e-4,  23100.0763
 17144.0000,  1.40963e-4,  23074.7795
 17145.0040,  1.47730e-4,  23075.3187
 17145.9950,  1.57084e-4,  23077.1374
 17147.0000,  1.63274e-4,  23063.2532
 17148.0040,  1.56083e-4,  23053.4637
 17148.9960,  1.54253e-4,  23043.7570
 17150.0000,  1.51114e-4,  23033.1880
 17151.0050,  1.64482e-4,  23027.0889
 17151.9980,  1.50744e-4,  23018.9077
 17152.3940,  1.51035e-4,  23012.0445
 17152.8040,  1.75545e-4,  23002.8727
 17153.2010,  1.55071e-4,  23002.7931
 17153.5970,  1.75704e-4,  23000.1719
 17153.9950,  1.97377e-4,  23000.7769
 17154.4050,  2.02555e-4,  23008.2159
 17154.8020,  1.98223e-4,  23000.8725
 17155.1980,  2.14863e-4,  22996.7601
 17155.5950,  2.27585e-4,  22994.8585
 17156.0050,  2.04937e-4,  22985.1566
 17156.4030,  2.24515e-4,  22990.4324
 17156.8000,  2.71292e-4,  22988.2929
 17157.1960,  2.92334e-4,  22982.6022
 17157.5930,  2.86990e-4,  22964.0045
 17158.0030,  3.18867e-4,  22954.2711
 17158.4010,  3.26357e-4,  22945.8362
 17158.7980,  3.82186e-4,  22932.1262
 17159.1950,  4.30717e-4,  22915.7469
 17159.6060,  4.86309e-4,  22886.8733
 17160.0020,  5.23569e-4,  22870.8999
 17160.3990,  5.89217e-4,  22865.8682
 17160.7970,  7.39224e-4,  22868.9917
 17161.1940,  8.87468e-4,  22876.6705
 17161.6050,  0.00109197,  22894.6520
 17162.0010,  0.00129023,  22905.7269
 17162.3990,  0.00155991,  22903.4020
 17162.7960,  0.00202683,  22903.7425
 17163.1940,  0.00236063,  22903.0245
 17163.6040,  0.00283563,  22902.4904
 17164.0010,  0.00323567,  22896.4140
 17164.3980,  0.00385224,  22886.4856
 17164.7960,  0.00426729,  22878.7114
 17165.1940,  0.00488839,  22887.7648
 17165.6040,  0.00537540,  22894.0041
 17166.0010,  0.00573131,  22877.2757
 17166.3990,  0.00636190,  22878.0041
 17166.7960,  0.00696640,  22884.8229
 17167.1940,  0.00735701,  22883.9579
 17167.6050,  0.00814352,  22889.3151
 17168.0020,  0.00922792,  22890.4000
 17168.3990,  0.01043508,  22882.4186
 17168.7970,  0.01235114,  22871.8185
 17169.1950,  0.01501474,  22888.0552
 17169.6060,  0.01840176,  22885.1058
 17170.0030,  0.02257214,  22885.3385
 17170.4000,  0.02708929,  22878.9523
 17170.7990,  0.03222576,  22875.2462
 17171.1960,  0.03820693,  22862.0107
 17171.5930,  0.04365269,  22861.6686
 17172.0040,  0.04913314,  22860.7479
 17172.4030,  0.05380515,  22860.4962
 17172.8000,  0.05844911,  22854.6610
 17173.1970,  0.06121485,  22855.7165
 17173.5950,  0.06278553,  22856.6802
 17173.9940,  0.06266866,  22848.2023
 17174.4050,  0.06100774,  22839.6893
 17174.8020,  0.05832889,  22836.5836
 17175.2000,  0.05442182,  22829.7197
 17175.5980,  0.04969225,  22829.3551
 17175.9960,  0.04612768,  22817.8333
 17176.3930,  0.04213448,  22824.9881
 17176.8050,  0.03900526,  22830.0530
